Category,Precision,Recall,F1-Score,ROC AUC
Acne,0.7,0.94,0.81,0.9927431059506531
Actinic,0.75,0.6,0.67,0.9584514170040486
Atopic,0.68,0.61,0.64,0.9430000000000001
Bacterial-Infections,0.53,0.31,0.39,0.9450830140485312
Basal,0.82,0.74,0.78,0.9666572166572167
Eczema_photos,0.76,0.81,0.78,0.9556474624090282
Impetigo,0.14,0.12,0.13,0.9572303921568628
Lupus,0.43,0.42,0.43,0.9564658034528553
Rosacea,0.76,0.85,0.8,0.9910947336097036
allergic-contact,0.47,0.47,0.47,0.9157617637380717
alopecia-areata,0.71,0.83,0.77,0.9981955380577427
atypical-nevi,0.6,0.69,0.64,0.9953770367563471
bullous-pemphigoid,0.55,0.55,0.55,0.9666577277196746
candidiasis-large,0.58,0.85,0.69,0.9975748389541493
dermatitis,0.3,0.27,0.29,0.9113256458389202
dermatofibroma,0.78,0.7,0.74,0.9854616895874264
distal-subungual,0.92,0.79,0.85,0.9986615948154409
drug-eruptions,0.43,0.5,0.46,0.9435695538057743
epidermal-cyst,0.4,0.4,0.4,0.9
fixed-drug-eruption,0.5,0.38,0.43,0.9666666666666668
genital-warts,0.87,0.81,0.84,0.983695652173913
herpes,0.68,0.81,0.74,0.9723937747035573
herpes-cutaneous,0.7,0.58,0.64,0.9566108923884515
herpes-type,0.68,0.68,0.68,0.9763690583770106
herpes-zoster,0.31,0.33,0.32,0.9266864100032906
hives-Urticaria,0.56,0.42,0.48,0.931758530183727
intertrigo,0.43,0.3,0.35,0.993516699410609
keratoacanthoma,0.86,0.55,0.67,0.9949941896844552
lentigo-adults,0.43,0.3,0.35,0.9739685658153241
melanocytic-nevi,0.56,0.42,0.48,0.9931922572178478
molluscum-contagiosum,0.6,0.43,0.5,0.9719639335023951
morphea,0.78,0.64,0.7,0.9936533476356485
mucous-cyst,0.82,0.75,0.78,0.9972933070866141
pemphigus,0.46,0.4,0.43,0.9400460677854557
psoriasis,0.76,0.93,0.84,0.9990842490842491
pyogenic-granuloma,0.75,0.86,0.8,0.9849957734573119
rhus-dermatitis,0.5,0.44,0.47,0.9870243157779958
sebaceous-hyperplasia,0.71,0.71,0.71,0.9897859241639848
seborrheic-keratoses,0.77,0.77,0.77,0.9951201879631303
seborrheic-keratosis,0.4,0.36,0.38,0.9724680432645034
skin-tags,0.73,0.89,0.8,0.995529386108385
sun-damaged-skin,0.57,0.57,0.57,0.9435756551141167
tinea-body,0.5,0.36,0.42,0.9392082276697662
tinea-foot,0.79,0.86,0.83,0.9950750045183444
tinea-groin,0.79,0.79,0.79,0.9812623274161736
tinea-hand,0.78,0.88,0.82,0.9979166666666667
tinea-laboratory,0.82,0.9,0.86,0.9988212180746563
tinea-primary,0.75,0.75,0.75,0.9950980392156862
tinea-scalp,0.56,0.71,0.63,0.9967818665174201
tinea-versicolor,0.73,0.79,0.76,0.9747816286277825
venous-malformations,0.45,0.56,0.5,0.9738305528295715
viral-exanthems,0.4,0.55,0.46,0.9868597479216947
warts-common,0.71,0.77,0.74,0.9815081470253885
warts-flat,0.75,0.75,0.75,0.9617647058823529
warts-plantar,0.73,0.79,0.76,0.9937306283460129
